=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 10:19:22 CST

==> Running train_attack_blend_resnet_celeba_0.1_blend_no_smooth_epoch48.pt
Start time: 2025年 08月 07日 星期四 10:19:22 CST
using fraction:  1
[NC][t=1][r=1] step 200/800 | CE=0.0000 | L1=0.48481 | TV=0.00129
[NC][t=1][r=1] step 250/800 | CE=0.0000 | L1=0.47919 | TV=0.00157
[NC][t=1][r=1] step 300/800 | CE=0.0000 | L1=0.47315 | TV=0.00186
[NC][t=1][r=1] step 350/800 | CE=0.0000 | L1=0.46672 | TV=0.00215
[NC][t=1][r=1] step 400/800 | CE=0.0000 | L1=0.45989 | TV=0.00245
[NC][t=1][r=1] step 450/800 | CE=0.0000 | L1=0.45268 | TV=0.00274
[NC][t=1][r=1] step 500/800 | CE=0.0000 | L1=0.44508 | TV=0.00303
[NC][t=1][r=1] step 550/800 | CE=0.0000 | L1=0.43929 | TV=0.00323
[NC][t=1][r=1] step 600/800 | CE=0.0000 | L1=0.43843 | TV=0.00326
[NC][t=1][r=1] step 650/800 | CE=0.0000 | L1=0.43750 | TV=0.00329
[NC][t=1][r=1] step 700/800 | CE=0.0000 | L1=0.43648 | TV=0.00333
[NC][t=1][r=1] step 750/800 | CE=0.0000 | L1=0.43538 | TV=0.00336
[NC][t=1][r=1] step 800/800 | CE=0.0000 | L1=0.43419 | TV=0.00340
[NC][t=1][r=2] step 50/800 | CE=0.0000 | L1=0.49931 | TV=0.00101
[NC][t=1][r=2] step 100/800 | CE=0.0000 | L1=0.49655 | TV=0.00102
[NC][t=1][r=2] step 150/800 | CE=0.0000 | L1=0.49317 | TV=0.00111
[NC][t=1][r=2] step 200/800 | CE=0.0000 | L1=0.48933 | TV=0.00123
[NC][t=1][r=2] step 250/800 | CE=0.0000 | L1=0.48510 | TV=0.00140
[NC][t=1][r=2] step 300/800 | CE=0.0000 | L1=0.48051 | TV=0.00159
[NC][t=1][r=2] step 350/800 | CE=0.0000 | L1=0.47557 | TV=0.00180
[NC][t=1][r=2] step 400/800 | CE=0.0000 | L1=0.47031 | TV=0.00202
[NC][t=1][r=2] step 450/800 | CE=0.0000 | L1=0.46472 | TV=0.00226
[NC][t=1][r=2] step 500/800 | CE=0.0000 | L1=0.45881 | TV=0.00250
[NC][t=1][r=2] step 550/800 | CE=0.0000 | L1=0.45428 | TV=0.00268
[NC][t=1][r=2] step 600/800 | CE=0.0000 | L1=0.45361 | TV=0.00271
[NC][t=1][r=2] step 650/800 | CE=0.0000 | L1=0.45287 | TV=0.00273
[NC][t=1][r=2] step 700/800 | CE=0.0000 | L1=0.45208 | TV=0.00276
[NC][t=1][r=2] step 750/800 | CE=0.0000 | L1=0.45121 | TV=0.00280
[NC][t=1][r=2] step 800/800 | CE=0.0000 | L1=0.45028 | TV=0.00283
[NC][t=1] DONE | L1=0.139549 | TV=0.003951 | CE=0.0000
[NC][t=2][r=0] step 50/800 | CE=0.0000 | L1=0.49780 | TV=0.00062
[NC][t=2][r=0] step 100/800 | CE=0.0000 | L1=0.49150 | TV=0.00082
[NC][t=2][r=0] step 150/800 | CE=0.0000 | L1=0.48417 | TV=0.00115
