=== Neural Cleanse Report ===
Timestamp: 2025年 08月 07日 星期四 18:37:00 CST

==> Running train_attack_square_resnet_celeba_0.1_square_no_smooth_epoch30.pt
Start time: 2025年 08月 07日 星期四 18:37:00 CST
using fraction:  1
[NC][t=1][r=1] step 200/800 | CE=0.0000 | L1=0.49006 | TV=0.00119
[NC][t=1][r=1] step 250/800 | CE=0.0000 | L1=0.48622 | TV=0.00134
[NC][t=1][r=1] step 300/800 | CE=0.0000 | L1=0.48206 | TV=0.00152
[NC][t=1][r=1] step 350/800 | CE=0.0000 | L1=0.47759 | TV=0.00172
[NC][t=1][r=1] step 400/800 | CE=0.0000 | L1=0.47281 | TV=0.00193
[NC][t=1][r=1] step 450/800 | CE=0.0000 | L1=0.46773 | TV=0.00215
[NC][t=1][r=1] step 500/800 | CE=0.0000 | L1=0.46235 | TV=0.00238
[NC][t=1][r=1] step 550/800 | CE=0.0000 | L1=0.45823 | TV=0.00255
[NC][t=1][r=1] step 600/800 | CE=0.0000 | L1=0.45761 | TV=0.00257
[NC][t=1][r=1] step 650/800 | CE=0.0000 | L1=0.45694 | TV=0.00260
[NC][t=1][r=1] step 700/800 | CE=0.0000 | L1=0.45621 | TV=0.00262
[NC][t=1][r=1] step 750/800 | CE=0.0000 | L1=0.45542 | TV=0.00265
[NC][t=1][r=1] step 800/800 | CE=0.0000 | L1=0.45457 | TV=0.00269
[NC][t=1][r=2] step 50/800 | CE=0.0000 | L1=0.49922 | TV=0.00087
[NC][t=1][r=2] step 100/800 | CE=0.0000 | L1=0.49665 | TV=0.00088
[NC][t=1][r=2] step 150/800 | CE=0.0000 | L1=0.49348 | TV=0.00095
[NC][t=1][r=2] step 200/800 | CE=0.0000 | L1=0.48986 | TV=0.00106
[NC][t=1][r=2] step 250/800 | CE=0.0000 | L1=0.48585 | TV=0.00120
[NC][t=1][r=2] step 300/800 | CE=0.0000 | L1=0.48148 | TV=0.00136
[NC][t=1][r=2] step 350/800 | CE=0.0000 | L1=0.47676 | TV=0.00155
[NC][t=1][r=2] step 400/800 | CE=0.0000 | L1=0.47170 | TV=0.00174
